pais,tipo_energia,total_gerado,unidade
Bosnia Herzegovina,Other Fossil,1.7400000000000007,TWh
Comoros (the),Other Fossil,1.6500000000000004,TWh
Rwanda,Gas,1.5699999999999998,TWh
Sao Tome and Principe,Other Fossil,1.4200000000000004,TWh
Lao People's Democratic Republic (the),Other Fossil,1.4200000000000002,TWh
Senegal,Gas,1.3700000000000003,TWh
Vanuatu,Other Fossil,1.3500000000000008,TWh
Luxembourg,Other Fossil,1.3500000000000005,TWh
Sierra Leone,Other Fossil,1.3400000000000007,TWh
Tonga,Other Fossil,1.2500000000000007,TWh
Moldova,Other Fossil,1.1800000000000002,TWh
Lebanon,Gas,1.18,TWh
Albania,Other Fossil,1.1199999999999999,TWh
Botswana,Other Fossil,1.07,TWh
Guinea-Bissau,Other Fossil,1.03,TWh
Saint Pierre and Miquelon,Other Fossil,1.0200000000000002,TWh
Belize,Other Fossil,1.0100000000000005,TWh
Norway,Coal,0.9800000000000003,TWh
Gibraltar,Gas,0.94,TWh
Namibia,Coal,0.9300000000000004,TWh
Slovenia,Other Fossil,0.9100000000000004,TWh
Brunei Darussalam,Other Fossil,0.9100000000000003,TWh
Georgia,Other Fossil,0.9100000000000001,TWh
Western Sahara,Other Fossil,0.8799999999999998,TWh
Burundi,Other Fossil,0.87,TWh
Honduras,Coal,0.7900000000000003,TWh
Bahrain,Other Fossil,0.76,TWh
Latvia,Other Fossil,0.71,TWh
Nauru,Other Fossil,0.7000000000000003,TWh
Zimbabwe,Other Fossil,0.7000000000000002,TWh
Cook Islands (the),Other Fossil,0.6700000000000004,TWh
Kiribati,Other Fossil,0.5700000000000002,TWh
"Tanzania, the United Republic of",Coal,0.54,TWh
Trinidad and Tobago,Other Fossil,0.5099999999999999,TWh
Belarus,Coal,0.4600000000000002,TWh
Barbados,Gas,0.4600000000000002,TWh
Kosovo,Other Fossil,0.4500000000000002,TWh
Congo (the Democratic Republic of the),Gas,0.45000000000000007,TWh
Bosnia Herzegovina,Gas,0.43000000000000016,TWh
Eswatini,Coal,0.42000000000000004,TWh
Ethiopia,Other Fossil,0.39000000000000007,TWh
Uruguay,Gas,0.38,TWh
Suriname,Gas,0.3600000000000001,TWh
Central African Republic (the),Other Fossil,0.3500000000000001,TWh
Niger (the),Gas,0.29,TWh
Falkland Islands (the) [Malvinas],Other Fossil,0.2500000000000001,TWh
Rwanda,Coal,0.25,TWh
Equatorial Guinea,Other Fossil,0.24000000000000007,TWh
